Date,SPX,NDAQ,AAPL,MSFT,NFLX,NVDA
12/06/2020,3071.040039,36.12407333,83.88277479,182.8887861,429,9.133871496
15/06/2020,2993.76001,35.2104898,81.0917023,177.1680897,421.3999939,8.787708736
16/06/2020,3131,37.13463494,85.52286182,185.1444324,425.7600098,9.196177746
17/06/2020,3136.129883,37.25353918,86.42076456,187.1984562,441.8200073,9.085275187
18/06/2020,3101.639893,36.83741144,85.51066985,186.2098298,448.730011,9.198173062
19/06/2020,3140.290039,37.63211847,86.29668078,190.6155118,449.1199951,9.213621549
22/06/2020,3094.419922,37.26917941,85.49364659,187.9279217,455.0100098,9.27094165
23/06/2020,3138.699951,37.61333124,88.57427891,193.9749806,466.5,9.521157355
24/06/2020,3114.399902,36.99072604,88.81761198,193.5046545,468.5400085,9.446641197
25/06/2020,3046.600098,35.98015412,87.77127202,189.8572136,458.8599854,9.326518847
26/06/2020,3073.199951,36.95630469,88.67406487,191.7097548,466.3900146,9.47031755
29/06/2020,3018.590088,36.73103587,85.95840278,187.9183977,445.230011,9.141100979
30/06/2020,3050.199951,36.55270113,87.62040544,189.9340518,450.019989,9.284899704
01/07/2020,3105.919922,37.41935485,88.84683067,194.9828085,454,9.491003326
02/07/2020,3143.639893,38.35170906,89.51114056,197.4208122,485.6400146,9.608883249
06/07/2020,3155.290039,38.01068397,90.03429319,200.4443228,480.769989,9.7113127
07/07/2020,3166.439941,37.62585242,91.35073198,201.9992894,497.3099976,9.915173456
08/07/2020,3153.070068,37.84173613,91.66952984,201.6345411,498.5799866,9.962527349
09/07/2020,3176.169922,38.25472541,93.69652676,207.6431492,508.3999939,10.34781536
10/07/2020,3152.469971,37.9512415,92.79373105,205.0420012,519.7299805,10.55566718
13/07/2020,3205.080078,38.80224073,94.67228465,205.8674414,567.9799805,10.56189714
14/07/2020,3141.110107,38.4799882,92.31192547,197.8527711,517.0800171,10.04352224
15/07/2020,3225.97998,39.4217332,96.351305,201.1450028,516.2999878,10.38171133
16/07/2020,3208.360107,39.59068078,93.98851198,197.1520876,526.4799805,9.983710582
17/07/2020,3224.209961,39.95361489,94.40218372,196.2594411,494.8699951,10.19355237
20/07/2020,3224.290039,40.15072387,93.84738238,196.768124,489.1400146,10.24214918
21/07/2020,3268.52002,40.88909345,96.5289347,205.0804097,506,10.48015265
22/07/2020,3254.860107,41.61495552,94.11503952,200.7994489,492.1900024,10.33510916
23/07/2020,3271.639893,41.98727082,94.41192424,198.8701764,491.1300049,10.41735061
24/07/2020,3218.580078,41.07681358,88.56212064,192.3720071,468.769989,9.844142784
27/07/2020,3219.840088,40.88909051,91.21205333,193.3798871,484.5100098,10.20028021
28/07/2020,3234.27002,40.53555524,91.85201508,195.4339096,496.019989,10.34183877
29/07/2020,3227.219971,40.28838194,91.25097746,194.368505,492.25,10.3582858
30/07/2020,3231.76001,40.55119917,91.67680022,192.9287522,480.7099915,10.34258461
31/07/2020,3270.449951,40.89222385,100.1424704,196.1922347,488.2900085,10.53024552
03/08/2020,3288.26001,41.24889559,105.3158091,203.0263474,490.8599854,10.69896602
04/08/2020,3289.919922,40.83903819,106.2234383,205.5698875,498.6499939,11.0154756
05/08/2020,3317.370117,40.76707784,106.4619163,206.2705538,508.6799927,11.20886903
06/08/2020,3323.169922,40.60438153,107.4620123,203.8133379,504.1099854,11.31428844
07/08/2020,3340.050049,40.62315103,110.386058,206.2225799,505.4500122,11.27715761
10/08/2020,3356.040039,41.77139309,109.7961132,203.170301,493.3500061,11.29883815
11/08/2020,3370.340088,41.29894989,109.1818029,198.8414071,479.75,11.03915019
12/08/2020,3355.459961,41.03301299,107.7459676,197.0464539,471.3399963,10.95641009
13/08/2020,3372.949951,40.67633939,111.5805515,201.0298245,478.3999939,11.50992446
14/08/2020,3368.659912,40.69512112,111.9705883,200.3771427,482.8200073,11.49397506
17/08/2020,3380.860107,40.47923145,113.1723944,201.1834029,484.1900024,11.81422084
18/08/2020,3387.040039,40.76394494,111.5049915,202.0761164,484.3500061,12.41110133
19/08/2020,3392.51001,40.92976803,113.0943942,203.4881978,493.9299927,12.25808276
20/08/2020,3360.47998,40.50425781,112.8676852,201.6120152,484.6900024,11.93758568
21/08/2020,3386.01001,40.7920972,116.2927253,205.7685573,496.4599915,12.16362786
