Date,SPX,AAPL,MSFT,NFLX,NVDA
13/07/2020,3205.080078,94.67229242,205.8674414,567.9799805,10.56189714
14/07/2020,3141.110107,92.31191801,197.852756,517.0800171,10.0435241
15/07/2020,3225.97998,96.351305,201.1450489,516.2999878,10.38171424
16/07/2020,3208.360107,93.98850434,197.1520569,526.4799805,9.98370964
17/07/2020,3224.209961,94.4021914,196.2594104,494.8699951,10.19355333
20/07/2020,3224.290039,93.84736742,196.7681092,489.1400146,10.24214824
21/07/2020,3268.52002,96.5289347,205.0803941,506,10.48015265
22/07/2020,3254.860107,94.11503194,200.7994941,492.1900024,10.33510537
23/07/2020,3271.639893,94.41191627,198.8701764,491.1300049,10.41735061
24/07/2020,3218.580078,88.56212064,192.3720678,468.769989,9.844144632
27/07/2020,3219.840088,91.21203071,193.3799022,484.5100098,10.20028302
28/07/2020,3234.27002,91.8520228,195.4339404,496.019989,10.34183877
29/07/2020,3227.219971,91.25099251,194.3685201,492.25,10.35828485
30/07/2020,3231.76001,91.67681516,192.9287673,480.7099915,10.34258275
31/07/2020,3270.449951,100.1424778,196.1922042,488.2900085,10.53024647
03/08/2020,3288.26001,105.315794,203.0263325,490.8599854,10.69896881
04/08/2020,3289.919922,106.2234231,205.5698722,498.6499939,11.0154756
05/08/2020,3317.370117,106.4619012,206.2706,508.6799927,11.20886903
06/08/2020,3323.169922,107.4620197,203.8133978,504.1099854,11.31428844
07/08/2020,3340.050049,110.386058,206.2225953,505.4500122,11.27715857
10/08/2020,3356.040039,109.7961056,203.1702545,493.3500061,11.29883718
11/08/2020,3370.340088,109.1818107,198.8413916,479.75,11.03915214
12/08/2020,3355.459961,107.7459825,197.0464689,471.3399963,10.95641193
13/08/2020,3372.949951,111.5805591,201.0298245,478.3999939,11.50992638
14/08/2020,3368.659912,111.9705883,200.3771427,482.8200073,11.49397696
17/08/2020,3380.860107,113.1723944,201.1833877,484.1900024,11.81422176
18/08/2020,3387.040039,111.5049764,202.0760557,484.3500061,12.41110133
19/08/2020,3392.51001,113.0943713,203.4882747,493.9299927,12.25808179
20/08/2020,3360.47998,112.8676852,201.6120152,484.6900024,11.9375838
21/08/2020,3386.01001,116.2927034,205.768542,496.4599915,12.16362786
24/08/2020,3418.090088,125.4927569,206.6633528,495.4400024,12.84349763
25/08/2020,3435.949951,121.5923929,205.0372799,488.1900024,12.59128447
26/08/2020,3449.969971,123.0379705,209.6364469,492.5,12.75925827
27/08/2020,3485.139893,123.9765002,214.4569184,537.7800293,12.7415666
28/08/2020,3494.689941,122.874619,219.5467699,532,12.63539867
31/08/2020,3509.72998,124.4031006,218.4114387,521.1599731,13.1415617
01/09/2020,3507.439941,129.4541369,216.9777993,532.5999756,13.44190268
02/09/2020,3543.76001,134.1638554,219.3447082,553.7800293,14.66219455
03/09/2020,3564.73999,123.7497778,220.5955127,545,13.78966709
04/09/2020,3453.600098,117.0801225,206.9616754,520.1799927,12.74762169
08/09/2020,3371.879883,111.1125019,198.6870342,498.3999939,11.70133683
09/09/2020,3369.820068,114.3400789,199.7454159,519.210022,12.36495541
10/09/2020,3412.560059,117.3628949,205.3259276,503.3500061,12.95254066
11/09/2020,3352.699951,111.7170709,199.3605465,486.4899902,12.45021609
14/09/2020,3363.560059,111.8633184,196.5125289,480.6199951,13.04403248
15/09/2020,3407.72998,115.3834291,200.5344031,484,13.24246842
16/09/2020,3411.22998,112.3606419,202.6511511,499.9899902,12.92063138
17/09/2020,3346.860107,106.9878279,192.4810574,475.1600037,12.09796204
18/09/2020,3357.379883,107.6509305,195.1270331,472.5100098,12.55815918
21/09/2020,3285.570068,101.9368267,189.7292587,467.6900024,11.89129656
22/09/2020,3295.75,109.8741259,197.3015103,489.0100098,12.53946109
23/09/2020,3320.110107,108.8405198,200.0340793,491.0400085,12.5399602
24/09/2020,3226.139893,102.551138,192.2886616,470.5299988,12.03813281
25/09/2020,3236.659912,105.7299564,195.8486744,474.3900146,12.41232403
28/09/2020,3333.899902,112.1461166,202.9013278,489.1099854,13.00339646
29/09/2020,3350.919922,111.6975755,201.4291941,489.5,12.9009354
30/09/2020,3341.209961,110.9564744,199.870512,492.5700073,13.12031402
01/10/2020,3385.870117,114.7106227,205.4125372,506.0299988,13.71911884
02/10/2020,3338.939941,110.078913,200.1302948,516.4299927,13.18762368
05/10/2020,3367.27002,111.0735044,199.3797829,506.7999878,13.19859373
06/10/2020,3408.73999,112.8189304,200.9192882,518.7199707,13.79091446
07/10/2020,3384.560059,111.7658262,199.2258214,518,13.96018606
08/10/2020,3434.280029,113.355242,202.5452971,533.4799805,14.03522292
09/10/2020,3459.669922,112.409355,203.2380441,537.8300171,13.72809353
12/10/2020,3500.02002,117.0703592,210.5120341,548.8099976,13.94996249
13/10/2020,3534.01001,122.1506253,214.2933676,540.5599976,14.2560959
14/10/2020,3515.469971,117.9869472,214.5627553,562.6099854,14.25011098
15/10/2020,3453.719971,115.7637333,208.8860268,545.5200195,13.77171702
16/10/2020,3493.5,118.259969,211.8206183,549.5,13.99707838
19/10/2020,3493.659912,116.972846,212.0803319,537.0700073,13.86371055
20/10/2020,3439.379883,113.3064929,207.6351389,528.1400146,13.5451114
21/10/2020,3439.909912,113.7647765,205.0565748,501.0299988,13.58649341
22/10/2020,3438.5,114.5253406,205.8358979,494.6900024,13.48428384
23/10/2020,3464.899902,113.4917435,206.8942792,488.1099854,13.41198884
26/10/2020,3441.419922,111.1710084,205.7589574,487.0299988,13.38905354
27/10/2020,3403.149902,112.6141501,203.5844436,490.0100098,13.26839631
28/10/2020,3342.47998,112.1850972,199.8127741,486.3599854,13.1606997
29/10/2020,3277.169922,109.5718563,196.3489792,488.5,12.80221626
30/10/2020,3293.590088,108.2944604,195.8005379,502.0100098,12.81368403
02/11/2020,3296.199951,106.3930151,196.5606395,478.8699951,12.62197859
03/11/2020,3336.25,106.929335,196.1757825,484.9299927,12.67258603
04/11/2020,3406.459961,111.2977579,205.9224942,495.3599854,13.35141008
05/11/2020,3485.73999,115.0128783,213.6390604,506.5599976,14.12247619
06/11/2020,3508.340088,115.5727238,213.8507565,515,14.06987307
09/11/2020,3583.040039,117.7021241,215.9482353,485.5400085,14.51137203
10/11/2020,3543.26001,112.8670517,206.3843583,470.9500122,13.56804469
11/11/2020,3563.219971,114.4689691,204.354202,483,13.01685943
12/11/2020,3562.669922,116.8425385,208.9918083,491,13.44090659
13/11/2020,3552.570068,116.6667266,208.1739642,486.769989,13.58873684
16/11/2020,3600.159912,116.1588046,206.7403228,480,13.13527084
17/11/2020,3610.310059,116.7741703,207.923836,480.1199951,13.51419735
18/11/2020,3612.090088,115.8560093,206.104672,481.9500122,13.42719635
19/11/2020,3559.409912,114.8596842,203.9148719,482,13.17540855
20/11/2020,3579.310059,115.8852968,204.7058989,485.2200012,13.41597419
23/11/2020,3566.820068,114.4592027,203.5000281,490.4599915,13.13402595
24/11/2020,3594.52002,111.2651111,202.1880625,478.8399963,13.10535766
25/11/2020,3635.5,112.8670638,207.5131229,485.1300049,12.99566687
27/11/2020,3638.550049,113.8633641,207.2623212,486.5799866,13.33720008
30/11/2020,3634.179932,114.2540906,206.5387965,490.0799866,13.22751
01/12/2020,3645.870117,118.2002576,206.9343056,492.3399963,13.45411679
02/12/2020,3653.780029,119.1868208,207.2912304,501.6199951,13.31276886
03/12/2020,3668.280029,120.6519995,207.0307869,502.9899902,13.5531012
04/12/2020,3670.939941,119.7533556,206.6545872,497.5,13.41445288
07/12/2020,3694.72998,119.470096,206.7992529,500.0100098,13.56681786
08/12/2020,3683.050049,121.4822648,206.4133991,517.9000244,13.55060784
09/12/2020,3705.97998,121.6385326,207.5613451,510.5299988,13.266829
10/12/2020,3659.129883,117.7021088,204.2910903,494.5599976,12.83642109
11/12/2020,3656.080078,119.5873195,202.6318279,495,12.93441975
14/12/2020,3675.27002,119.753345,205.574141,505.4400024,13.05486585
15/12/2020,3666.409912,121.4529531,207.5710137,518.5,13.40572512
16/12/2020,3696.25,124.4516855,207.1658717,520.1099854,13.38852043
17/12/2020,3713.649902,125.9070689,212.1050337,529,13.33290988
18/12/2020,3722.389893,125.9656928,210.8701935,533.2000122,13.34512993
21/12/2020,3684.280029,122.1171509,209.8669285,530.0499878,13.04164753
22/12/2020,3698.080078,128.554197,214.825441,527.6900024,13.2855312
23/12/2020,3693.419922,129.0914078,215.2306021,524.7600098,13.22244265
24/12/2020,3694.030029,128.2708905,213.6003152,515.1199951,13.00424435
28/12/2020,3723.030029,130.878884,216.5232607,516.4299927,13.02943196
29/12/2020,3750.01001,134.8446048,218.3175766,519.9000244,12.8922791
30/12/2020,3736.189941,132.4319868,217.2757043,530.1300049,12.95736482
31/12/2020,3733.27002,130.9668102,213.8703832,525.5300293,13.10324637
04/01/2021,3764.610107,130.4198216,214.6710801,539,13.07107501
05/01/2021,3698.02002,125.8973076,209.5871776,521.5499878,13.06658709
06/01/2021,3712.199951,124.7544818,204.6769434,511.9700012,13.1890259
07/01/2021,3764.709961,125.3796007,206.4809345,508.2799988,12.93467181
08/01/2021,3815.050049,129.3551144,210.9570559,511.3099976,13.32867181
11/01/2021,3803.139893,126.1903525,210.7544987,507.8399963,13.38477824
12/01/2021,3801.620117,125.5163652,208.8540228,500,13.71768402
13/01/2021,3802.22998,125.7703199,206.4616481,495.5,13.45585043
14/01/2021,3814.97998,127.7629705,208.2848684,507.3500061,13.54063241
15/01/2021,3788.72998,125.7898706,205.9792843,500,13.1945112
19/01/2021,3781.879883,124.8130659,206.2011561,501,12.98329725
20/01/2021,3816.219971,125.672639,210.0116602,565.4199829,13.07855537
21/01/2021,3857.459961,130.6933065,216.7643879,582.4500122,13.38453181
22/01/2021,3844.23999,133.1156552,219.0603732,582.0999756,13.70521641
25/01/2021,3851.679932,139.7481039,221.0283348,567,13.74685751
26/01/2021,3862.959961,140.265754,223.6716279,554.7299805,13.54611914
27/01/2021,3836.830078,140.0997211,229.5947437,550.710022,13.19650759
28/01/2021,3755.75,136.2805073,227.289155,535.8800049,12.96334776
29/01/2021,3778.050049,132.67618,227.6557255,538,13.04190035
01/02/2021,3731.169922,130.6444619,226.7585674,536.789978,13.02020434
02/02/2021,3791.840088,132.5784601,232.7781837,542.0100098,13.36483136
03/02/2021,3840.27002,132.6077967,231.1092936,550.1699829,13.60147948
04/02/2021,3836.659912,133.1352482,234.0901728,539.8099976,13.4967439
05/02/2021,3878.300049,134.3613377,233.6753322,552.2600098,13.69025545
08/02/2021,3892.590088,133.070067,234.5628688,555,13.69249887
09/02/2021,3910.48999,133.647234,233.328057,546,14.30444553
10/02/2021,3920.780029,133.5102636,236.3475103,562.5,14.42663575
11/02/2021,3916.399902,132.9428706,236.1352969,564.4400024,14.9423266
